"ranking","school_name","instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"172","Illinois State University",14490,26014,9948,20784,0,0,1,1,"0",1.13e+08,47200,0.89,17,0.47
"173","Ohio University",12192,21656,12966,29525,0,0,1,0,"0",536200000,48200,0.74,17,0.44
"174","Rowan University",13422,21890,12236,18484,0,0,1,0,"1",191800000,48300,0.59,17,0.48
"175","University of Houston",10890,26340,9104,45364,0,0,1,1,"0",753100000,53800,0.61,22,0.25
"176","University of Louisville",11264,26286,9226,21403,0,0,1,1,"0",7.19e+08,47100,0.76,15,0.31
"177","Florida Institute of Technology",41850,41850,12880,6402,1,0,1,1,"0",70800000,58000,0.63,15,0.43
"178","Maryville University of St. Louis",28470,28470,10088,7689,1,0,1,0,"1",50300000,45700,0.92,14,0.54
"179","Mississippi State University",8650,23250,10090,21883,0,0,1,0,"0",4.72e+08,49300,0.73,20,0.3
"180","Pace University",45330,45330,19053,13312,1,0,1,1,"0",169900000,54100,0.8,14,0.39
"181","Suffolk University",38566,38566,17846,7288,1,0,1,1,"0",231700000,47600,0.83,13,0.45
"182","University of Maine",11170,30970,10418,11240,0,0,1,0,"0",299900000,50300,0.92,16,0.38
"184","Lesley University",27850,27850,16200,4732,1,0,1,0,"0",185700000,43600,0.73,12,0.49
"185","Robert Morris University",30300,30300,11400,5076,1,0,1,0,"1",33600000,47400,0.83,15,0.47
"186","University of Wyoming",5400,17490,10320,12397,0,0,1,0,"1",464300000,51500,0.97,15,0.26
"187","Florida International University",6558,18956,10882,56851,0,0,1,1,"0",240600000,45500,0.51,25,0.27
"188","Georgia State University",10858,29432,14692,32848,0,0,1,1,"0",165900000,47700,0.52,23,0.23
"189","Texas Tech University",11045,23495,9772,36996,0,0,1,1,"0",729200000,54000,0.69,20,0.35
"191","Kent State University",10756,19456,11362,28972,0,0,1,0,"1",136800000,42500,0.88,20,0.34
"192","Nova Southeastern University",30900,30900,12040,20793,1,0,0,0,"1",117800000,49300,0.58,17,0.41
"193","University of Massachusetts--Boston",14167,33966,16290,16415,0,0,1,0,"0",80700000,50600,0.75,16,0.21
"194","Andrews University",29288,29288,9078,3348,1,1,1,0,"0",53100000,47500,0.58,10,0.33
"195","East Carolina University",7188,23465,10354,29131,0,0,1,1,"0",185800000,45700,0.79,19,0.36
"196","Indiana University-Purdue University--Indianapolis",9465,29821,8924,29791,0,0,1,1,"0",1.1e+09,48500,0.8,17,0.21
"197","Lipscomb University",32144,32144,12652,4642,1,1,1,0,"1",7.9e+07,46400,0.6,14,0.46
"198","University of Hartford",40694,40694,12476,6561,1,0,1,0,"1",164500000,51000,0.81,9,0.46
"199","University of North Carolina--Charlotte",6854,20813,12822,29317,0,0,1,0,"1",186700000,49900,0.66,19,0.29
"200","Widener University",45948,45948,14446,6518,1,0,1,0,"1",80900000,54000,0.65,14,0.44
"201","Regent University",18108,18108,7080,10187,1,1,1,0,"1",95300000,40000,0.81,21,0.51
"202","University of Montana",7244,24959,9178,11865,0,0,1,1,"0",179500000,43700,0.93,17,0.29
"203","University of Nevada--Reno",7925,22397,10868,21657,0,0,1,1,"0",305100000,50000,0.88,20,0.26
"204","University of North Carolina--Greensboro",7248,22494,9038,19922,0,0,1,1,"0",2.75e+08,41600,0.78,18,0.3
"206","California State University--Fresno",6585,12723,10587,25168,0,0,1,1,"0",144300000,46800,0.59,21,0.15
"207","Central Michigan University",12510,12510,9736,23335,0,0,1,0,"0",156400000,45900,0.68,20,0.24
"208","Montana State University",7421,24849,10100,16703,0,0,1,1,"0",151700000,52300,0.83,19,0.24
"210","University of North Dakota",8827,20891,8974,14406,0,0,1,1,"0",267400000,50500,0.83,18,0.26
"211","Utah State University",7424,21505,6400,27679,0,0,1,1,"0",360200000,49100,0.89,20,0.18
"212","Wayne State University",13776,29663,10106,27089,0,0,1,1,"0",366700000,48400,0.67,16,0.19
"213","Western Michigan University",12483,15373,10143,22894,0,0,1,1,"0",386600000,48100,0.82,17,0.22
"214","West Virginia University",8856,24950,10918,28409,0,0,1,0,"1",574100000,52000,0.72,20,0.32
"215","Bowling Green State University",11105,19093,9168,17357,0,0,1,0,"0",1.56e+08,44400,0.68,18,0.35
"217","Old Dominion University",11140,29680,12318,24375,0,0,1,1,"0",204700000,47700,0.86,18,0.27
"218","Shenandoah University",32530,32530,10370,3844,1,1,1,1,"0",63400000,50300,0.83,10,0.53
"219","University of Alaska--Fairbanks",8800,24970,8930,7744,0,0,1,1,"0",98900000,56200,0.77,8,0.2
"220","University of Massachusetts--Dartmouth",13921,29141,13582,8406,0,0,1,0,"1",46100000,51600,0.84,16,0.3
"222","California State University--Fullerton",6870,16374,15898,40439,0,0,1,1,"0",62500000,46800,0.59,23,0.01
"223","Dallas Baptist University",28870,28870,7992,5067,1,1,0,0,"1",47200000,46000,0.39,12,0.44
"224","New Mexico State University",7368,23508,9252,14432,0,0,1,1,"0",39100000,48900,0.64,16,0.18
"225","University of Texas--Arlington",10496,26533,10302,46497,0,0,1,1,"0",145100000,54400,0.71,24,0.22
"227","Southern Illinois University--Carbondale",14704,14704,10622,14554,0,0,1,0,"0",133400000,47300,0.76,14,0.23
"228","University of Missouri--St. Louis",10275,27327,9363,16740,0,0,1,1,"0",81300000,47000,0.76,18,0.32
"231","Ashland University",21342,21342,9942,5224,1,0,1,0,"0",41300000,41900,0.74,13,0.42
"233","Barry University",29850,29850,11100,7358,1,1,1,1,"0",40100000,43600,0.85,13,0.15
"235","Cardinal Stritch University",29998,29998,8440,2355,1,1,1,0,"1",15500000,48300,0.78,10,0.16
"236","Clark Atlanta University",23438,23438,11156,3992,0,0,0,0,"0",68500000,42300,0.58,20,0.26
"238","Eastern Michigan University",12430,12430,10167,20313,0,0,1,1,"0",72600000,43900,0.73,17,0.14
"239","East Tennessee State University",8679,26463,12640,14353,0,0,1,1,"0",114300000,42800,0.85,15,0
